revenue,popularity,budget,vote_average,vote_count
1200000,1.2791059999999999,3000000,4.5,10
1151330,3.6808959999999997,13000000,6.4,60
1784763,10.475368,13000000,4.6,243
3964682,30.952377000000002,14350531,6.3,733
303877,4.267466000000001,10000000,5.8,45
68572378,34.532418,13000000,6.6,1257
33082548,1.7149720000000002,0,5.3,34
10652035,19.664699,13000000,6.4,503
55260558,6.537986,12000000,7.1,109
23367586,13.349012,12500000,6.7,137
12281551,35.268557,12500000,7.5,749
10725228,13.939054,12500000,7.5,323
27206120,8.780512,12500000,5.4,177
11293663,15.817096,12000000,7.1,509
20416563,34.821222999999996,12500000,7.7,1451
40031879,22.022228,12800000,7.6,377
1227324,2.950618,12500000,7.3,31
5024782,7.497306,15000000,5.8,84
31327899,26.396190999999998,20000000,6.3,1150
1083683,6.546037,12500000,6.0,94
84460846,28.670192999999998,12300000,7.0,640
15,9.572705000000001,0,7.4,133
3878993,0.9035290000000001,12500000,6.3,30
441306145,47.584643,8000000,7.5,2005
470654000,50.152327,7000000,7.5,2542
235483004,60.767168000000005,11000000,6.4,2296
8109160,11.103202,12516654,7.6,142
79817939,15.262129999999999,25000000,5.6,304
96070507,6.035152,12000000,6.9,281
75781642,10.297189,12000000,6.2,137
96800000,22.434102,12000000,7.3,675
107217396,41.249004,15000000,6.4,1648
79567667,23.161754000000002,12000000,7.0,504
68706993,19.195399,12000000,7.0,375
81272766,21.958054999999998,12000000,6.3,417
114194847,45.477802000000004,12000000,6.7,1060
39673162,40.631671000000004,12000000,7.3,1514
43493123,26.219597999999998,12000000,6.2,497
145000000,64.504747,15000000,6.6,1935
30400000,3.389249,12000000,6.2,51
42365581,14.779537,5000000,6.6,249
61141030,6.7033190000000005,12000000,4.7,158
100000000,49.070321,12000000,6.5,1564
89800000,21.933822,12000000,7.3,323
52223306,20.624896,12000000,6.6,435
40855419,8.083995,12000000,5.5,339
56309766,11.135734,12000000,5.5,281
31179516,4.623609,12000000,4.7,30
31155435,11.510280999999999,12000000,6.3,218
27281507,15.085981,0,7.2,212
56298474,18.422327,12000000,7.3,383
32726956,8.410688,12000000,6.5,85
307166834,74.358971,12000000,7.6,3759
22921898,18.422007999999998,12000000,6.9,439
25434291,15.896312,0,6.3,210
54000000,8.616589999999999,12000000,5.4,25
21133087,6.044161,12000000,6.5,330
100129872,29.019503999999998,12000000,7.4,579
23006849,16.931846,12000000,5.8,364
85512300,64.610671,12000000,6.1,1937
51,4.480167,0,4.3,15
17654912,29.223881,12000000,7.4,636
17292381,1.0818219999999998,12000000,5.4,33
22939027,16.183746,12000000,5.6,364
42931041,47.992816999999995,12000000,6.6,1151
13960203,1.20245,0,5.3,8
12902790,0.700792,12000000,5.3,11
21520719,10.409253,0,6.1,99
31466789,19.944479,0,6.4,377
85000000,26.967494,14000000,7.9,613
87100449,74.81764100000001,0,7.8,2067
92863945,21.064082,0,7.1,439
35485056,16.40512,12000000,6.1,294
32248241,32.940597,12000000,6.4,933
6739141,8.708229,8000000,5.7,168
5542025,4.3304279999999995,12000000,5.9,43
6754898,4.770194999999999,12000000,5.8,78
4922166,1.623338,12000000,3.0,23
4939939,2.993939,12000000,5.7,16
23,10.536092,12000000,4.6,89
3148182,8.290636,12000000,6.6,154
88489643,27.65527,11000000,6.7,537
8371085,32.523573,12400000,7.3,720
12077441,27.322212,12000000,6.5,882
19271312,12.664786999999999,12000000,6.9,206
1644755,5.841285,12000000,6.5,84
15250000,5.327714,12000000,6.8,107
10652498,4.793348,12000000,7.6,55
2570000,0.7386520000000001,19000000,3.0,3
11212294,5.158067,12000000,6.3,59
17479,5.727602,20000000,5.8,62
101332962,11.150261,12000000,6.0,229
83557872,53.595686,10000000,7.7,2912
57469467,20.747994,11500000,6.4,407
153083102,45.072136,11000000,6.9,1596
775398007,126.393695,11000000,8.1,6624
94073028,56.805781,11500000,5.7,1406
111858363,12.854853,11000000,7.4,247
93617009,31.019381,25000000,7.2,1486
72778712,11.227087,11000000,6.4,298
64088552,19.231507,11000000,7.3,384
78874843,31.162838,11000000,7.3,1368
49797148,7.5591919999999995,11000000,6.6,217
97837138,38.018085,13000000,6.7,1062
41227069,33.283553999999995,11000000,7.5,1018
39363635,15.864927999999999,11000000,7.3,337
75902208,23.449703,10500000,6.6,827
68233629,31.900899,11000000,6.0,722
31672907,14.282314000000001,11000000,6.5,204
38105395,7.645979,11000000,7.4,158
23978402,3.4957580000000004,11000000,4.1,54
37170057,7.558959,12000000,5.9,65
11,3.375208,11,6.4,29
4884663,4.234269,12000000,5.5,57
62076141,39.337949,11000000,7.2,1213
20000000,29.543331,11000000,7.7,505
14782676,4.12064,24000000,5.8,53
13700000,2.259537,24000000,5.7,34
59520298,7.722021000000001,11000000,6.3,139
23430766,7.063053,11000000,4.9,74
13110448,16.003957999999997,11000000,7.0,334
61619773,21.204929,11000000,7.3,440
6413915,9.371811,14000000,5.4,60
30000000,33.282794,11000000,7.5,919
4069090,3.2081720000000002,10000000,8.2,12
2832826,1.187671,11000000,6.6,9
32935319,36.319205,11000000,7.2,834
16017403,4.146751999999999,0,5.8,75
2807854,9.705589,11000000,5.1,153
2200000,1.3969850000000001,11000000,5.9,16
2945242,4.056774,0,6.0,33
113857533,32.943847999999996,10800000,5.9,820
17000000,3.246903,7400000,6.1,42
18535191,4.519523,14000000,6.3,46
68700000,86.201184,10500000,7.9,2998
792910554,56.105798,10500000,7.3,3269
17500000,12.792446,10000000,5.8,160
